"Python for Everybody - Exploring data in python3","Charles R Severance","2016","English","20","14","231","1234567890123"
"Python for Everybody - Exploring data in python3","Charles R Severance","2016","English","20","14","231","1234567890124"
"Python for Everybody - Exploring data in python3","Charles R Severance","2016","English","20","14","231","1234567890125"
"Python for Everybody - Exploring data in python3","Charles R Severance","2016","English","20","14","231","1234567890126"
"Python for Everybody - Exploring data in python3","Charles R Severance","2016","English","20","14","231","1234567890127"
"Python for Everybody - Exploring data in python3","Charles R Severance","2016","English","20","14","231","1234567890128"
"Python for Everybody - Exploring data in python3","Charles R Severance","2016","English","20","14","231","1234567890129"
"Python for Everybody - Exploring data in python3","Charles R Severance","2016","English","20","14","231","1234567890130"
"Python for Everybody - Exploring data in python3","Charles R Severance","2016","English","20","14","231","1234567890131"
"Python for Everybody - Exploring data in python3","Charles R Severance","2016","English","20","14","231","1234567890132"
"Python for Everybody - Exploring data in python3","Charles R Severance","2016","English","20","14","231","1234567890133"
"Python for Everybody - Exploring data in python3","Charles R Severance","2016","English","20","14","231","1234567890134"
"Python for Everybody - Exploring data in python3","Charles R Severance","2016","English","20","14","231","1234567890135"
"Python for Everybody - Exploring data in python3","Charles R Severance","2016","English","20","14","231","1234567890136"
"Python for Everybody - Exploring data in python3","Charles R Severance","2016","English","20","14","231","1234567890137"
"Python for Everybody - Exploring data in python3","Charles R Severance","2016","English","20","14","231","1234567890138"
"Python for Everybody - Exploring data in python3","Charles R Severance","2016","English","20","14","231","1234567890139"
"Python for Everybody - Exploring data in python3","Charles R Severance","2016","English","20","14","231","1234567890140"
"Python for Everybody - Exploring data in python3","Charles R Severance","2016","English","20","14","231","1234567890141"
"Python for Everybody - Exploring data in python3","Charles R Severance","2016","English","20","14","231","1234567890142"
"Python for Everybody - Exploring data in python3","Charles R Severance","2016","English","20","14","231","1234567890143"
"Python for Everybody - Exploring data in python3","Charles R Severance","2016","English","20","14","231","1234567890144"
"Python for Everybody - Exploring data in python3","Charles R Severance","2016","English","20","14","231","1234567890145"
"Python for Everybody - Exploring data in python3","Charles R Severance","2016","English","20","14","231","1234567890146"
"Python for Everybody - Exploring data in python3","Charles R Severance","2016","English","20","14","231","1234567890147"
